,0
1,콰이어트 플레이스 2
2,크루엘라
3,루카
4,여고괴담 여섯번째 이야기 : 모교
5,캐시트럭
6,컨저링 3: 악마가 시켰다
7,발신제한
8,분노의 질주: 더 얼티메이트
9,극장판 귀멸의 칼날: 무한열차편
10,킬러의 보디가드 2
11,파이프라인
12,샤크 : 더 비기닝
13,블랙 위도우
14,아야와 마녀
15,클라이밍
16,콰이어트 플레이스
17,"그 여름, 가장 차가웠던"
18,미드나이트
19,그레타 툰베리
20,새콤달콤
21,썰
22,랑종
23,뱅드림! 로젤리아 에피소드Ⅰ: 약속
24,인피니트
25,사랑하고 사랑받고 차고 차이고
26,바람의 검심 최종장 더 파이널
27,노매드랜드
28,혼자 사는 사람들
29,인 더 하이츠
30,신해석 삼국지
31,괴기맨숀
32,메이드 인 루프탑
33,흩어진 밤
34,뱅퀴시
35,노바디 
36,보이저스
37,모가디슈
38,라이더스 오브 저스티스
39,청춘 선거
40,가버나움
41,베놈 2: 렛 데어 비 카니지
42,7번째 날
43,플래시백
44,진삼국무쌍
45,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들
46,그린 북
47,기생충
48,전야
49,프로페서 앤 매드맨
50,아들의 이름으로
