매물코드,지역코드,지역명,매물정보,매물방식,주거형태,면적,층,특이사항,확인매물,거래가액,월세,태그,부동산,매물방향
2115970360,1144011100,마포구 ,SITE,월세,원룸,24,1/5,광흥창역 대흥역세권 풀옵신축 사무실사용가능,21.06.21.,"1,000",60,"['2년이내', '융자금없는', '1층']",효성해링턴 공인중개사사무소,남동향
2115765163,1144011100,마포구 ,SITE,월세,원룸,29,4/5,올리모델링 룸메이트 두분이 쓰시면 좋아요.배랜다 공간 넓음,21.06.18.,"3,000",80,"['25년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,북동향
2115763962,1144011100,마포구 ,SITE,월세,원룸,18,3/5,NaN,21.06.18.,"1,000",60,"['15년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,남향
2115764635,1144011100,마포구 ,SITE,월세,원룸,18,4/5,올리모델링 보증금조정가능 1천60 가능,21.06.18.,"2,000",55,"['25년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,북향
2115665893,1144010900,마포구 ,SITE,월세,원룸,20,-1/2,이대역 도보5분 지층 풀옵션 분리형원룸 넓어요.,21.06.17.,500,50,"['25년이상', '융자금없는', '역세권']",이대명품공인중개사사무소,남향
2115690888,1144011500,마포구 ,SITE,월세,원룸,29,저/3,상수역 합정역 역세권  보증금 하양가능 월세 저렴한 원룸,21.06.17.,"3,000",51,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115666365,1144010900,마포구 ,SITE,월세,원룸,21,-1/4,올수리 첫입주 풀옵션 즉시입주가능,21.06.17.,500,25,"['25년이상', '융자금없는', '올수리']",이대명품공인중개사사무소,서향
2115689493,1144011500,마포구 ,SITE,월세,원룸,29,-1/3,상수역 합정역 역세권 월세 보증금 저렴한 원룸,21.06.17.,500,44,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115669819,1144010900,마포구 ,SITE,월세,원룸,40,1/2,2호선 이대역 채광좋은 투룸,21.06.17.,500,70,"['25년이상', '융자금없는', '역세권']",으뜸공인중개사사무소,서향
2115648327,1144010900,마포구 ,SITE,월세,원룸,20,-1/2,이대역 도보5분 반지층 풀옵션 분리형 리모델링1년차원룸.,21.06.17.,500,45,"['융자금없는', '역세권', '화장실한개']",이대명품공인중개사사무소,서향
2115667847,1144010800,마포구 ,SITE,월세,원룸,38,1/3,2호선 이대역 풀옵션 투룸,21.06.17.,"1,000",75,"['25년이상', '융자금없는', '역세권']",으뜸공인중개사사무소,동향
2115691345,1144011500,마포구 ,SITE,월세,원룸,29,중/3,상수역 합정역 역세권  보증금 상향 가능 월세 저렴한 원룸,21.06.17.,"1,000",57,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115689857,1144011500,마포구 ,SITE,월세,원룸,29,-1/3,상수역 합정역 역세권 월세 보증금 저렴한 원룸,21.06.17.,500,44,"['25년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남동향
2115580338,1144012300,마포구 ,SITE,월세,원룸,37,3/4,망원역세권 전용 넓은 분리형 원룸 관리비 저렴 주차가능,21.06.16.,"1,000",70,"['15년이내', '융자금없는', '역세권']",효성해링턴 공인중개사사무소,남향
2115488291,1144012500,마포구 ,SITE,월세,원룸,20,1/2,단독주택  오픈형 원룸  풀옵션  한달여유 ,21.06.15.,"1,000",40,"['25년이상', '융자금없는', '역세권']",호박공인중개사사무소,남동향
